Code Status For :500,521,522,523,524,533,544,566,577,588	File Updated :02/11/2020
NPA	NXX	Use	OCN 	Company                                                     
500	403	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	404	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	405	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	406	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	407	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	408	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	409	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	410	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	411	UA	    	                                                            
500	412	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	413	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	414	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	415	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	416	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	417	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	418	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	419	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	420	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	421	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	422	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	423	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	424	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	425	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	426	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	427	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	428	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	429	AS	7894	NORTH COUNTY COMMUNICATIONS CORP. - CA                      
500	430	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	431	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	432	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	433	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	434	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	435	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	436	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	437	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	438	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	439	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	440	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	441	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	442	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	443	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	444	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	445	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	446	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	447	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	448	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	449	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	450	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	451	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	452	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	453	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	454	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	455	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	456	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	457	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	458	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	459	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	460	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	461	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	462	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	463	AS	1985	CROSS TELEPHONE CO.                                         
